log_ret_y,count,Close Price_y,edge_count,node_count,degree
0.003134913,957,11.44833333,863,1623,1.063462723
0.001672788,1361,11.4675,1198,2150,1.114418605
-0.004807702,1158,11.4125,934,1685,1.108605341
-0.000876616,2923,11.4025,2681,4772,1.123637888
0.006410745,1012,11.47583333,866,1601,1.08182386
0.003045246,2215,11.51083333,1849,3196,1.157071339
-0.002900024,995,11.4775,889,1632,1.089460784
-0.004001315,1007,11.43166667,923,1708,1.080796253
-0.001751058,900,11.41166667,799,1455,1.098281787
0.004226487,4014,11.46,3818,6995,1.091636883
0.001017516,2373,11.47166667,2247,4306,1.043660009
0.004493738,1336,11.52333333,1118,1994,1.121364092
0.000433808,1528,11.52833333,951,1738,1.094361335
-0.00195362,2977,11.50583333,1804,3212,1.123287671
0.002242721,2278,11.53166667,1174,2123,1.105982101
0.004973879,3023,11.58916667,2348,4204,1.117031399
0.001149838,2044,11.6025,1034,1883,1.098247477
0.002582313,2521,11.6325,1233,2221,1.110310671
-0.00100344,7714,11.62083333,6475,12098,1.070424864
-0.001794366,2847,11.6,1567,2921,1.072920233
-0.003454235,2293,11.56,1075,1957,1.098620337
-7.21E-05,3479,11.55916667,2737,4851,1.128427128
-0.000144196,1454,11.5575,1214,2219,1.094186571
-0.001226507,1171,11.54333333,1010,1845,1.094850949
0.003387269,1441,11.5825,1101,1985,1.109319899
0.002156103,1695,11.6075,1327,2414,1.09942005
0.001291434,1716,11.6225,1346,2402,1.120732723
0.005933463,2678,11.69166667,2445,4399,1.111616276
-0.001426534,1082,11.675,996,1811,1.099944782
0.001497807,1106,11.6925,990,1779,1.112984823
0.003131007,1241,11.72916667,1085,1927,1.12610275
-0.005414276,1209,11.66583333,1054,1902,1.108307045
0.005201109,797,11.72666667,726,1329,1.09255079
-0.004772599,3830,11.67083333,3727,6810,1.094566814
0.002211049,1178,11.69666667,1086,1926,1.127725857
0.001637302,2490,11.71583333,2374,4528,1.048586572
0.003408368,2145,11.75583333,1060,1910,1.109947644
0.002477965,1367,11.785,1223,2201,1.11131304
0.000494857,1255,11.79083333,1203,2117,1.136513935
-0.005385882,2434,11.7275,2360,4176,1.130268199
7.11E-05,1098,11.72833333,1040,1864,1.115879828
0.001845674,7237,11.75,7169,13091,1.095256283
-0.000780446,1088,11.74083333,1045,1906,1.096537251
-0.003626413,1263,11.69833333,1214,2116,1.147448015
0.000783281,828,11.7075,789,1470,1.073469388
-0.002637114,1397,11.67666667,1292,2268,1.139329806
0.003846433,2706,11.72166667,2562,4564,1.122699387
-0.001850139,830,11.7,752,1398,1.075822604
-0.003639092,1027,11.6575,971,1764,1.100907029
-0.001573902,1649,11.63916667,1596,2805,1.137967914
0.000143184,1190,11.64083333,1128,1991,1.133098945
-0.001002722,2350,11.62916667,2174,3874,1.122354156
-0.001075462,1278,11.61666667,1178,2139,1.101449275
-0.001292083,1106,11.60166667,1030,1892,1.088794926
0.002295883,1123,11.62833333,1016,1812,1.121412804
0.006286633,1016,11.70166667,960,1758,1.092150171
0.024897552,1607,11.99666667,1493,2824,1.057365439
0.008094409,3397,12.09416667,3310,6035,1.096934548
0.007003599,2411,12.17916667,2374,4515,1.051605759
0.001504171,1086,12.1975,1015,1818,1.116611661
-0.00940392,815,12.08333333,775,1428,1.085434174
0.001240609,1834,12.09833333,1782,3129,1.139022052
0.003781243,966,12.14416667,931,1672,1.113636364
-0.000343159,2586,12.14,2519,4499,1.119804401
